group_name,mean_cpu_time,mean_wait_time,mean_exec_time
c100_m_128,19803.375,59944.875,79748.25
c100_m_256,155777.5,1003511.5,1159289.0
c100_m_32,275.125,23883.75,24158.875
c100_m_64,2326.75,24932.875,27259.625
c25_m_128,19779.25,639698.0,659477.25
c25_m_256,154931.125,1164524.75,1319455.875
c25_m_32,263.625,628466.125,628729.75
c25_m_64,2445.875,629640.75,632086.625
c50_m_128,19397.5,414477.125,433874.625
c50_m_256,156434.875,1063024.0,1219458.875
c50_m_32,260.25,402083.625,402343.875
c50_m_64,2961.75,403263.0,406224.75
c75_m_128,19294.125,239284.5,258578.625
c75_m_256,155492.75,905999.25,1061492.0
c75_m_32,263.75,227807.875,228071.625
c75_m_64,2469.875,228488.0,230957.875
