group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c100_m_32,0,303,54,357
c100_m_32,2,309,44,353
c100_m_32,1,272,31,303
c100_m_32,4,254,219,473
c100_m_32,6,251,174,425
c100_m_32,5,260,223,483
c100_m_64,8,1964,243,2207
c100_m_64,9,1993,146,2139
c100_m_64,12,1930,1667,3597
c100_m_64,13,1979,1584,3563
c100_m_64,10,4941,23,4964
c100_m_64,14,1931,4413,6344
c100_m_128,16,15691,2640,18331
c100_m_128,17,15701,2173,17874
c100_m_128,20,15618,16092,31710
c100_m_128,21,15769,15634,31403
c100_m_128,18,30724,4496,35220
c100_m_128,22,33678,32997,66675
c100_m_32,3,288,95073,95361
c100_m_32,7,264,95252,95516
c100_m_64,11,1941,94985,96926
c100_m_64,15,1935,96402,98337
c100_m_128,19,15579,96077,111656
c75_m_32,33,273,200949,201222
c75_m_32,32,261,201019,201280
c75_m_32,37,262,201175,201437
c75_m_32,36,282,201111,201393
c75_m_32,34,263,201835,202098
c75_m_32,38,256,201978,202234
c75_m_64,40,1972,201250,203222
c75_m_64,41,2062,201089,203151
c75_m_64,42,1943,201766,203709
c75_m_64,44,1950,202673,204623
c75_m_64,45,1992,202599,204591
c75_m_64,46,5944,203173,209117
c75_m_128,48,15787,203690,219477
c75_m_128,49,15810,203225,219035
c75_m_128,52,15583,217201,232784
c75_m_128,53,15781,216779,232560
c75_m_128,50,31679,207268,238947
c75_m_128,54,28582,236680,265262
c100_m_128,23,15667,309450,325117
c75_m_32,35,255,307126,307381
c75_m_32,39,258,307270,307528
c75_m_64,43,1932,306976,308908
c75_m_64,47,1964,308378,310342
c75_m_128,51,15579,308074,323653
c75_m_128,55,15552,321359,336911
c50_m_32,66,266,376986,377252
c50_m_32,64,266,377082,377348
c50_m_32,65,266,377059,377325
c50_m_32,70,254,377131,377385
c50_m_32,68,256,377215,377471
c50_m_32,69,251,377205,377456
c50_m_64,72,1947,377245,379192
c50_m_64,73,1942,377135,379077
c50_m_64,76,1946,378686,380632
c50_m_64,77,2012,378565,380577
c50_m_64,74,6006,376959,382965
c50_m_64,78,5948,382441,388389
c50_m_128,80,15593,379703,395296
c50_m_128,81,15746,379200,394946
c50_m_128,84,15602,393084,408686
c50_m_128,85,15656,392740,408396
c50_m_128,82,30715,386591,417306
c50_m_128,86,30644,415084,445728
c50_m_32,67,266,476918,477184
c50_m_32,71,257,477073,477330
c50_m_64,75,1955,476817,478772
c50_m_64,79,1938,478256,480194
c50_m_128,83,15645,477987,493632
c50_m_128,87,15579,491428,507007
c25_m_32,97,263,553410,553673
c25_m_32,96,259,553478,553737
c25_m_32,100,254,553629,553883
c25_m_32,101,294,553566,553860
c25_m_64,104,1940,553660,555600
c25_m_64,105,1982,553554,555536
c25_m_64,108,1941,555078,557019
c25_m_64,109,1958,555018,556976
c25_m_128,112,15635,556071,571706
c25_m_128,113,15730,555594,571324
c25_m_128,116,15563,569495,585058
c25_m_128,117,15641,569111,584752
c25_m_32,99,264,653328,653592
c25_m_32,103,253,653465,653718
c25_m_64,107,1934,653186,655120
c25_m_64,111,1936,654584,656520
c25_m_128,115,15726,654287,670013
c25_m_128,119,15555,667790,683345
c25_m_32,98,262,753359,753621
c25_m_32,102,260,753494,753754
c25_m_64,106,5937,753322,759259
c25_m_64,110,1939,758724,760663
c25_m_128,114,29782,758848,788630
c75_m_256,56,123852,728783,852635
c75_m_256,57,124493,726937,851430
c25_m_128,118,34602,786388,820990
c100_m_256,24,125188,787948,913136
c100_m_256,25,124963,786981,911944
c100_m_256,28,124181,804295,928476
c100_m_256,29,123962,803190,927152
c75_m_256,60,124096,804609,928705
c75_m_256,61,124506,803149,927655
c75_m_256,59,123795,828057,951852
c100_m_256,27,123971,875867,999838
c100_m_256,31,123682,890906,1014588
c50_m_256,92,123681,860143,983824
c50_m_256,93,124234,857874,982108
c75_m_256,63,124364,890759,1015123
c25_m_256,120,123546,904977,1028523
c25_m_256,121,124186,903520,1027706
c50_m_256,91,123824,936328,1060152
c25_m_256,124,123710,919601,1043311
c25_m_256,125,124387,918833,1043220
c50_m_256,88,124038,956771,1080809
c50_m_256,89,124557,958237,1082794
c50_m_256,95,123899,951247,1075146
c25_m_256,123,123841,996144,1119985
c25_m_256,127,123919,1011169,1135088
c100_m_256,26,251804,1058525,1310329
c75_m_256,58,249428,1164981,1414409
c75_m_256,62,249408,1300719,1550127
c50_m_256,94,251530,1424542,1676072
c50_m_256,90,255716,1559050,1814766
c25_m_256,122,245820,1762029,2007849
c25_m_256,126,250040,1899925,2149965
c100_m_256,30,248469,2020380,2268849
