group_name,mean_cpu_time,mean_wait_time,mean_exec_time
c100_m_128,15620.0,246366.375,261986.375
c100_m_256,124199.25,1010513.0,1134712.25
c100_m_32,320.25,238033.875,238354.125
c100_m_64,1943.125,238731.5,240674.625
c25_m_128,15653.75,42615.0,58268.75
c25_m_256,124548.375,145401.875,269950.25
c25_m_32,262.5,9177.5,9440.0
c25_m_64,1948.125,9656.5,11604.625
c50_m_128,15657.375,204913.375,220570.75
c50_m_256,123989.5,435615.125,559604.625
c50_m_32,260.25,89673.0,89933.25
c50_m_64,1952.5,90335.0,92287.5
c75_m_128,15711.625,391199.75,406911.375
c75_m_256,124556.125,730647.375,855203.5
c75_m_32,265.75,169693.25,169959.0
c75_m_64,1952.875,170291.0,172243.875
