group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c100_m_32,0,416,57,473
c100_m_32,2,415,43,458
c100_m_32,1,465,52,517
c100_m_32,4,251,346,597
c100_m_32,6,251,327,578
c100_m_32,5,260,383,643
c100_m_64,8,1934,351,2285
c100_m_64,10,1932,138,2070
c100_m_64,9,2000,300,2300
c100_m_64,12,1936,1750,3686
c100_m_64,14,1953,1521,3474
c100_m_64,13,1930,1769,3699
c100_m_128,16,15586,2709,18295
c100_m_128,18,15550,1603,17153
c100_m_128,17,15683,2284,17967
c100_m_128,20,15652,15971,31623
c100_m_128,22,15612,14841,30453
c75_m_32,32,261,11684,11945
c75_m_32,34,270,11643,11913
c100_m_128,21,15733,15612,31345
c75_m_32,36,259,11806,12065
c75_m_32,38,251,11795,12046
c75_m_32,33,273,12024,12297
c75_m_32,37,301,12173,12474
c75_m_64,40,1957,11827,13784
c75_m_64,42,1945,11602,13547
c75_m_64,41,1984,12153,14137
c75_m_64,44,1940,13272,15212
c75_m_64,46,1934,12737,14671
c75_m_64,45,2002,13611,15613
c75_m_128,50,15591,12828,28419
c75_m_128,48,15741,13942,29683
c50_m_32,66,266,7451,7717
c50_m_32,64,254,7765,8019
c50_m_32,70,259,7603,7862
c75_m_128,49,15709,13929,29638
c50_m_32,68,252,7740,7992
c50_m_32,65,265,8126,8391
c50_m_32,69,263,8296,8559
c50_m_64,74,1937,7439,9376
c50_m_64,72,1939,7775,9714
c50_m_64,73,2000,8246,10246
c50_m_64,78,1937,8864,10801
c50_m_64,76,1930,9179,11109
c50_m_64,77,1989,9732,11721
c50_m_128,82,15648,9008,24656
c50_m_128,80,15725,10150,25875
c25_m_32,98,259,3729,3988
c25_m_32,96,252,3885,4137
c25_m_32,102,262,3872,4134
c25_m_32,100,248,4003,4251
c50_m_128,81,15766,10359,26125
c25_m_32,97,286,4674,4960
c25_m_32,101,252,4847,5099
c25_m_64,106,1940,3713,5653
c25_m_64,104,1934,4017,5951
c25_m_64,105,1993,4782,6775
c25_m_64,110,1937,4729,6666
c25_m_64,108,1937,5055,6992
c25_m_64,109,1973,5859,7832
c25_m_128,114,15578,4869,20447
c25_m_128,112,15568,6038,21606
c25_m_32,99,279,24119,24398
c25_m_32,103,262,24291,24553
c25_m_128,113,15829,6450,22279
c25_m_64,107,1939,24043,25982
c25_m_64,111,1932,25054,26986
c25_m_128,118,15589,18221,33810
c25_m_128,116,15626,19398,35024
c25_m_128,117,15754,20057,35811
c25_m_128,115,15582,24752,40334
c25_m_128,119,15704,241135,256839
c25_m_256,126,123683,128946,252629
c25_m_256,125,124343,131206,255549
c25_m_256,124,124637,133442,258079
c25_m_256,123,124095,148088,272183
c25_m_256,122,124275,150531,274806
c25_m_256,120,124156,155959,280115
c25_m_256,121,124373,154771,279144
c50_m_128,86,15581,306493,322074
c50_m_128,84,15592,308467,324059
c50_m_128,85,15673,309152,324825
c25_m_256,127,126825,160272,287097
c50_m_32,67,261,335129,335390
c50_m_32,71,262,335274,335536
c50_m_64,75,1936,335014,336950
c50_m_64,79,1952,336431,338383
c50_m_128,83,15581,336159,351740
c50_m_128,87,15693,349519,365212
c50_m_256,90,124516,414691,539207
c50_m_256,88,123984,420173,544157
c50_m_256,89,124173,419105,543278
c50_m_256,92,123414,435183,558597
c50_m_256,94,123920,430458,554378
c50_m_256,93,124201,434571,558772
c75_m_128,52,15667,595581,611248
c75_m_128,54,15739,594656,610395
c75_m_128,53,15744,597401,613145
c50_m_256,95,123809,450688,574497
c50_m_256,91,123899,480052,603951
c75_m_32,35,254,643142,643396
c75_m_32,39,257,643279,643536
c75_m_64,43,1931,643006,644937
c75_m_64,47,1930,644120,646050
c75_m_128,51,15906,643786,659692
c75_m_128,55,15596,657475,673071
c75_m_256,56,124145,707307,831452
c75_m_256,58,124702,703069,827771
c75_m_256,57,124138,707529,831667
c75_m_256,60,123843,722582,846425
c75_m_256,61,124061,722794,846855
c75_m_256,62,127689,718980,846669
c75_m_256,63,124018,774780,898798
c75_m_256,59,123853,788138,911991
c100_m_32,3,253,951476,951729
c100_m_32,7,251,951587,951838
c100_m_64,11,1930,951312,953242
c100_m_64,15,1930,952711,954641
c100_m_128,19,15558,952346,967904
c100_m_128,23,15586,965565,981151
c100_m_256,24,123623,979880,1103503
c100_m_256,25,124062,980222,1104284
c100_m_256,26,124144,980069,1104213
c100_m_256,28,123982,994517,1118499
c100_m_256,29,124077,995292,1119369
c100_m_256,30,124131,995106,1119237
c100_m_256,27,123883,1072062,1195945
c100_m_256,31,125692,1086956,1212648
